,Epoca,Train error,Val error
0,1,0.6638250052928925,0.586899995803833
1,2,0.5672999918460846,0.519899994134903
2,3,0.5322000086307526,0.4740999937057495
3,4,0.5003249943256378,0.4602000117301941
4,5,0.4797250032424927,0.4050999879837036
5,6,0.46205002069473267,0.4071999788284302
6,7,0.4503750205039978,0.40130001306533813
7,8,0.43902498483657837,0.3756999969482422
8,9,0.4300749897956848,0.36070001125335693
9,10,0.41987502574920654,0.3425999879837036
10,11,0.4096999764442444,0.34640002250671387
11,12,0.4042999744415283,0.3603000044822693
12,13,0.39955002069473267,0.34039998054504395
13,14,0.3952749967575073,0.3310999870300293
14,15,0.3927500247955322,0.35199999809265137
15,16,0.38337498903274536,0.3343999981880188
16,17,0.38077497482299805,0.31230002641677856
17,18,0.3735250234603882,0.32429999113082886
18,19,0.3725249767303467,0.32840001583099365
19,20,0.3665750026702881,0.3360000252723694
