,Epoca,Train error,Val error
0,1,0.6649999916553497,0.5261000096797943
1,2,0.4930499792098999,0.41769999265670776
2,3,0.4168499708175659,0.36720001697540283
3,4,0.3764749765396118,0.34630000591278076
4,5,0.34792500734329224,0.3479999899864197
5,6,0.3227499723434448,0.29490000009536743
6,7,0.305899977684021,0.2833999991416931
7,8,0.288100004196167,0.2947999835014343
8,9,0.2735999822616577,0.26990002393722534
9,10,0.2621750235557556,0.27160000801086426
10,11,0.2523999810218811,0.27079999446868896
11,12,0.24494999647140503,0.25370001792907715
12,13,0.23250001668930054,0.24849998950958252
13,14,0.2236499786376953,0.24580001831054688
14,15,0.2140750288963318,0.24860000610351562
15,16,0.2030249834060669,0.23869997262954712
16,17,0.19702500104904175,0.24150002002716064
17,18,0.1916000247001648,0.24390000104904175
18,19,0.18685001134872437,0.23750001192092896
19,20,0.1794000267982483,0.23479998111724854
